NUQFUS;FECHA DE LA MEDICION;NOMBRE DEL LABORATORIO;TIPO DE LABORATORIO;PH;CONDUCTIVIDAD;NITRATOS
1123;2020-06-10T00:00:00.000;IBAL;1;7.47;86.000;1.1
1124;2020-07-15T00:00:00.000;IBAL;1;8.08;351.00;1.3
1122;2020-07-15T00:00:00.000;IBAL;1;7.94;175.00;1.2
1123;2020-07-15T00:00:00.000;IBAL;1;7.82;100.00;0.9
1124;2020-08-19T00:00:00.000;IBAL;1;7.9;338.00;0.7
1122;2020-08-19T00:00:00.000;IBAL;1;7.73;180.00;0.8
1123;2020-08-19T00:00:00.000;IBAL;1;7.77;104.00;0.7
1124;2020-09-16T00:00:00.000;IBAL;1;8.05;361.000;0.9
1122;2020-09-16T00:00:00.000;IBAL;1;7.78;215.000;1
1123;2020-09-16T00:00:00.000;IBAL;1;7.79;99.000;1.2
1124;2020-10-14T00:00:00.000;IBAL;1;8.1;358.000;0.5
1122;2020-10-14T00:00:00.000;IBAL;1;7.97;214.000;0.6
1123;2020-10-14T00:00:00.000;IBAL;1;7.86;99.900;0.5
1124;2020-11-18T00:00:00.000;IBAL;1;8.09;267.000;2.8
1122;2020-11-18T00:00:00.000;IBAL;1;7.93;173.000;0.5
1123;2020-11-18T00:00:00.000;IBAL;1;7.83;94.700;0.7
1124;2020-12-16T00:00:00.000;IBAL;1;8.02;360.000;1.1
1122;2020-12-16T00:00:00.000;IBAL;1;7.74;164.000;1.2
1123;2020-12-16T00:00:00.000;IBAL;1;7.5;85.000;0.09
1124;2021-01-20T00:00:00.000;IBAL;1;7.95;372.000;2
1122;2021-01-20T00:00:00.000;IBAL;1;7.88;168.000;2.2
1123;2021-01-20T00:00:00.000;IBAL;1;7.85;91.000;1.3
1124;2021-02-17T00:00:00.000;IBAL;1;7.43;390.000;1
1122;2021-02-17T00:00:00.000;IBAL;1;4.37;175.000;0.7
1123;2021-02-17T00:00:00.000;IBAL;1;3.99;92.000;1.2
1124;2021-03-17T00:00:00.000;IBAL;1;8.01;242.00;1.7
1122;2021-03-17T00:00:00.000;IBAL;1;8.02;155.000;1.4
1123;2021-03-17T00:00:00.000;IBAL;1;7.97;81.000;0.5
1124;2021-04-21T00:00:00.000;IBAL;1;8.16;336.00;0.8
1122;2021-04-21T00:00:00.000;IBAL;1;7.9;155.00;0.9
1123;2021-03-23T00:00:00.000;IBAL;1;7.95;88.400;0.9
1124;2021-05-26T00:00:00.000;IBAL;1;7.7;239;1.5
1122;2021-05-26T00:00:00.000;IBAL;1;7.69;152;1.3
1123;2021-05-26T00:00:00.000;IBAL;1;7.64;81.3;2.3
1124;2021-06-16T00:00:00.000;IBAL;1;7.97;231.000;2.9
1122;2021-06-16T00:00:00.000;IBAL;1;7.98;151.000;2.7
1123;2021-06-16T00:00:00.000;IBAL;1;7.82;84.200;1.4
1124;2021-07-28T00:00:00.000;IBAL;1;7.87;234.000;1.2
1122;2021-07-28T00:00:00.000;IBAL;1;7.84;136.000;1.5
1123;2021-07-28T00:00:00.000;IBAL;1;7.95;74.100;1.3
1124;2021-08-25T00:00:00.000;IBAL;1;7.93;223.000;1.2
1122;2021-08-25T00:00:00.000;IBAL;1;7.76;128.000;1.5
1123;2021-08-25T00:00:00.000;IBAL;1;7.76;70.200;1.6
1124;2021-08-29T00:00:00.000;IBAL;1;7.7;223.000;1.1
1122;2021-08-29T00:00:00.000;IBAL;1;7.66;131.000;1.2
1123;2021-08-28T00:00:00.000;IBAL;1;7.66;74.900;2.1
1124;2021-10-21T00:00:00.000;IBAL;1;8.17;275;2.4
1122;2021-10-21T00:00:00.000;IBAL;1;7.9;135;1.9
1123;2021-10-20T00:00:00.000;IBAL;1;7.89;74.3;0.8
1124;2021-11-12T00:00:00.000;IBAL;1;8.09;259;1.5
1122;2021-11-12T00:00:00.000;IBAL;1;8.1;260;2.1
1123;2021-11-12T00:00:00.000;IBAL;1;7.65;76.0;1
1124;2021-12-15T00:00:00.000;IBAL;1;8.16;300;2
1122;2021-12-15T00:00:00.000;IBAL;1;7.93;140;0.8
1123;2021-12-15T00:00:00.000;IBAL;1;7.84;77.3;1.1
1124;2022-01-19T00:00:00.000;IBAL;1;8.18;341.000;1
1122;2022-01-19T00:00:00.000;IBAL;1;7.95;144.000;0.7
1123;2022-01-19T00:00:00.000;IBAL;1;7.95;78.400;2.1
1124;2022-02-16T00:00:00.000;IBAL;1;8.21;369.000;1.2
1122;2022-02-16T00:00:00.000;IBAL;1;8.1;146.000;1
1123;2022-02-16T00:00:00.000;IBAL;1;7.58;93.60;0.5
